No,surname,first_name,Games,Age,Date of Birth,Height,Weight,Origin,Position_1,Position_2
24,Ryan,Jakob,0,18yr 5mth,20 Sep 2004,189cm,79kg,Glenelg,Defender,NA
22,Sidebottom,Steele,289,32yr 1mth,2 Jan 1991,184cm,84kg,Murray Bushrangers,Midfield,NA
44,Steene,Oscar,0,19yr 6mth,23 Aug 2003,201cm,85kg,West Adelaide,Ruck,NA
12,Wilson,Tom,7,25yr 8mth,24 Jun 1997,194cm,86kg,Vic Metro,Defender,Forward
30,Atkins,Tom,82,27yr 5mth,18 Sep 1995,180cm,85kg,Geelong,Defender,Midfield
24,Bews,Jed,151,29yr 2mth,14 Dec 1993,186cm,91kg,Geelong Falcons,Defender,NA
46,Blicavs,Mark,227,31yr 11mth,28 Mar 1991,198cm,102kg,Geelong Vfl,Midfield,Ruck
12,Bowes,Jack,83,25yr 1mth,26 Jan 1998,187cm,88kg,Cairns,Defender,NA
4,Bruhn,Tanner,30,20yr 9mth,27 May 2002,183cm,77kg,Geelong Falcons,Midfield,Forward
5,Cameron,Jeremy,210,29yr 10mth,1 Apr 1993,196cm,96kg,Dartmore,Forward,NA
15,Ceglar,Jonathon,104,32yr,14 Feb 1991,204cm,102kg,Murray Bushrangers,Ruck,NA
13,Clark,Jhye,0,18yr 7mth,23 Jul 2004,181cm,77kg,Geelong Falcons,Midfield,NA
40,Clohesy,Ted,0,18yr 8mth,9 Jun 2004,184cm,76kg,Mayo,Midfield,NA
45,Close,Bradley,55,24yr 6mth,30 Jul 1998,181cm,71kg,Glenelg,Forward,NA
6,Conway,Toby,0,19yr 10mth,24 Apr 2003,205cm,97kg,Geelong Falcons,Ruck,NA
35,Dangerfield,Patrick,303,32yr 10mth,5 Apr 1990,189cm,92kg,Geelong Falcons,Midfield,NA
16,De Koning,Sam,24,22yr,26 Feb 2001,202cm,87kg,Dandenong Stingrays,Defender,NA
28,Dempsey,Ollie,2,20yr 1mth,7 Jan 2003,185cm,70kg,Carey Grammar,Forward,NA
22,Duncan,Mitchell,258,31yr 8mth,10 Jun 1991,188cm,88kg,East Perth,Defender,NA
19,Foster,Phoenix,0,18yr 5mth,12 Sep 2004,198cm,90kg,Norwood,Forward,Ruck
29,Guthrie,Cameron,230,30yr 6mth,19 Aug 1992,187cm,87kg,Calder Cannons,Midfield,NA
39,Guthrie,Zach,54,24yr 7mth,30 Jun 1998,187cm,82kg,Calder Cannons,Defender,NA
26,Hawkins,Tom,327,34yr 7mth,21 Jul 1988,198cm,102kg,Melbourne Grammar,Forward,NA
38,Henry,Jack,107,24yr 5mth,29 Aug 1998,192cm,91kg,Geelong Falcons,Defender,NA
36,Henry,Oliver,25,20yr 6mth,29 Jul 2002,189cm,80kg,Geelong Falcons,Forward,NA
9,Holmes,Max,30,20yr 5mth,29 Aug 2002,189cm,74kg,Sandringham Dragons,Midfield,NA
10,Knevitt,Mitchell,2,20yr 1mth,8 Jan 2003,193cm,81kg,Geelong Falcons,Midfield,NA
8,Kolodjashnij,Jake,155,27yr 6mth,9 Aug 1995,193cm,94kg,Launceston,Defender,NA
25,Kroeger,Flynn,0,19yr 7mth,23 Jul 2003,183cm,85kg,Eastern Ranges,Midfield,NA
27,Menegola,Sam,116,30yr 11mth,7 Mar 1992,189cm,89kg,Subiaco,Midfield,NA
32,Miers,Gryan,83,23yr 10mth,30 Mar 1999,179cm,81kg,Geelong Falcons,Forward,NA
34,Mullin,Oisin,0,23yr,11 Feb 2000,178cm,75kg,Mayo,Defender,NA
31,Murdoch,Oscar,0,18yr 5mth,24 Sep 2004,190cm,91kg,Geelong Falcons,Defender,NA
33,Neale,Shannon,2,20yr 7mth,25 Jul 2002,202cm,92kg,South Fremantle,Forward,NA
42,O'Connor,Mark,87,26yr 1mth,17 Jan 1997,191cm,88kg,Ireland,Defender,NA
3,Parfitt,Brandan,112,24yr 10mth,27 Apr 1998,180cm,79kg,Nt Thunder,Midfield,NA
17,Ratugolea,Esava,59,24yr 7mth,24 Jul 1998,198cm,104kg,Murray Bushrangers,Forward,Ruck
21,Riccardi,Osca,0,18yr 6mth,23 Aug 2004,177cm,65kg,Geelong Falcons,Defender,Forward
23,Rohan,Gary,177,31yr 8mth,7 Jun 1991,189cm,95kg,Geelong Falcons,Forward,NA
37,Simpson,Sam,19,24yr 8mth,14 Jun 1998,183cm,77kg,Geelong Falcons,Midfield,Forward
7,Smith,Isaac,258,34yr 1mth,30 Dec 1988,188cm,83kg,North Ballarat,Midfield,Forward
1,Stanley,Rhys,183,32yr 2mth,1 Dec 1990,200cm,102kg,West Adelaide,Ruck,NA
18,Stengle,Tyson,41,24yr 4mth,19 Oct 1998,172cm,73kg,Woodville West Torrens,Forward,NA
44,Stewart,Thomas,126,29yr 11mth,15 Mar 1993,190cm,85kg,Geelong Vfl,Defender,NA
2,Tuohy,Zach,250,33yr 2mth,10 Dec 1989,187cm,91kg,"County Laois, Ireland",Defender,Midfield
11,Whyte,Cooper,0,20yr,24 Feb 2003,181cm,79kg,Geelong Falcons,Midfield,Forward
20,Willis,James,0,19yr 7mth,10 Jul 2003,181cm,76kg,North Adelaide,Midfield,Forward
26,Baldwin,Kaine,4,20yr 8mth,30 May 2002,193cm,89kg,Glenelg,Forward,NA
24,Bryan,Nick,6,21yr 4mth,22 Oct 2001,203cm,97kg,Oakleigh Chargers,Forward,Ruck
6,Caldwell,Jye,34,22yr 5mth,28 Sep 2000,183cm,83kg,Bendigo Pioneers,Midfield,NA
13,Cox,Nikolas,27,21yr 1mth,15 Jan 2002,200cm,87kg,Northern Knights,Midfield,NA
42,D'Ambrosio,Massimo,8,19yr 8mth,5 Jun 2003,178cm,80kg,Western Jets,Defender,NA
33,Davey,Alwyn,0,19yr,26 Feb 2004,180cm,76kg,Oakleigh Chargers,Midfield,Forward
36,Davey,Jayden,0,19yr,26 Feb 2004,180cm,78kg,Oakleigh Chargers,Forward,NA
2,Draper,Sam,43,24yr 5mth,28 Sep 1998,205cm,105kg,South Adelaide,Ruck,NA
22,Durham,Sam,27,21yr 7mth,9 Jul 2001,185cm,75kg,Richmond,Midfield,NA
35,Guelfi,Matt,83,25yr 6mth,14 Aug 1997,184cm,84kg,Claremont,Forward,NA
18,Hayes,Lewis,0,18yr 2mth,17 Dec 2004,199cm,84kg,Eastern Ranges,Defender,NA
21,Heppell,Dyson,213,30yr 9mth,14 May 1992,189cm,87kg,Gippsland Power,Defender,Midfield
19,Hind,Nick,64,28yr 6mth,19 Aug 1994,180cm,75kg,Essendon Vfl,Defender,NA
8,Hobbs,Ben,17,19yr 5mth,16 Sep 2003,183cm,79kg,GWV Rebels,Forward,NA
23,Jones,Harrison,26,22yr,25 Feb 2001,196cm,78kg,Calder Cannons,Forward,NA
29,Kelly,Jake,131,28yr 1mth,21 Jan 1995,190cm,89kg,Oakleigh Chargers,Defender,NA
4,Langford,Kyle,107,26yr 2mth,1 Dec 1996,192cm,88kg,Northern Knights,Midfield,Forward
15,Laverde,Jayden,91,26yr 10mth,12 Apr 1996,193cm,91kg,Western Jets,Defender,NA
28,Lord,Alastair,1,19yr 3mth,26 Nov 2003,180cm,76kg,Norwood,Defender,NA
37,Martin,Nicholas,21,21yr 11mth,4 Mar 2001,190cm,86kg,Colts,Midfield,Forward
41,McBride,Cian,0,21yr 10mth,19 Apr 2001,197cm,89kg,Ireland,Defender,Ruck
43,McDonald-Tipungwuti,Anthony,126,29yr 10mth,22 Apr 1993,171cm,78kg,Gippsland Power,Forward,NA
1,McGrath,Andrew,111,24yr 8mth,2 Jun 1998,180cm,83kg,Sandringham Dragons,Defender,Midfield
47,Menzie,Jye,2,20yr 4mth,28 Oct 2002,181cm,79kg,South Adelaide,Forward,NA
7,Merrett,Zachary,184,27yr 4mth,3 Oct 1995,179cm,83kg,Sandringham Dragons,Midfield,NA
38,Montgomerie,Rhett,0,22yr 8mth,10 Jun 2000,190cm,83kg,SANFL CD,Defender,NA
45,Munkara,Anthony,0,18yr 4mth,3 Oct 2004,187cm,81kg,West Adelaide,Forward,NA
3,Parish,Darcy,132,25yr 7mth,25 Jul 1997,180cm,80kg,Geelong Falcons,Midfield,NA
16,Perkins,Archie,39,20yr 11mth,26 Mar 2002,188cm,80kg,Sandringham Dragons,Forward,NA
34,Phillips,Andrew,62,31yr 7mth,3 Jul 1991,201cm,100kg,Lauderdale,Ruck,NA
27,Redman,Mason,80,25yr 6mth,26 Aug 1997,187cm,86kg,Glenelg,Defender,NA
31,Reid,Zach,8,20yr 11mth,2 Mar 2002,202cm,84kg,Gippsland Power,Defender,NA
14,Ridley,Jordan,68,24yr 4mth,20 Oct 1998,195cm,93kg,Oakleigh Chargers,Defender,NA
12,Setterfield,Will,57,25yr,5 Feb 1998,192cm,86kg,Sandringham Dragons,Midfield,NA
9,Shiel,Dylan,199,29yr 11mth,9 Mar 1993,182cm,84kg,Aspendale,Midfield,NA
11,Snelling,Will,50,25yr 6mth,6 Aug 1997,175cm,76kg,West Adelaide,Forward,NA
17,Stewart,James,78,28yr 11mth,4 Mar 1994,199cm,99kg,Sandringham Dragons,Defender,NA
25,Stringer,Jake,172,28yr 10mth,25 Apr 1994,192cm,91kg,Bendigo Pioneers,Forward,NA
5,Tsatas,Elijah,0,18yr 4mth,18 Oct 2004,187cm,80kg,Oakleigh Chargers,Midfield,NA
39,Voss,Patrick,0,19yr 7mth,29 Jun 2003,194cm,84kg,Giants Academy,Forward,NA
40,Wanganeen,Tex,5,19yr 4mth,10 Oct 2003,175cm,72kg,Oakleigh Chargers,Forward,NA
10,Weideman,Sam,59,25yr 8mth,26 Jun 1997,195cm,94kg,Eastern Ranges,Forward,NA
20,Wright,Peter,109,26yr 5mth,8 Sep 1996,203cm,100kg,Calder Cannons,Forward,NA
30,Zerk-Thatcher,Brandon,29,24yr 6mth,25 Aug 1998,195cm,89kg,Sturt,Defender,NA
21,Aleer,Leek,4,21yr 6mth,21 Aug 2001,195cm,81kg,Central District,Defender,NA
9,Angwin,Ryan,1,20yr 2mth,12 Dec 2002,185cm,74kg,Gippsland Power,Midfield,Forward
7,Ash,Lachlan,56,21yr 8mth,21 Jun 2001,186cm,82kg,Murray Bushrangers,Midfield,NA
14,Bedford,Toby,18,22yr 9mth,27 May 2000,179cm,71kg,Dandenong Stingrays,Forward,NA
32,Briggs,Kieren,9,23yr 4mth,6 Oct 1999,200cm,107kg,Pennant Hills,Ruck,NA
46,Brown,Callum,10,22yr 6mth,15 Aug 2000,188cm,92kg,County Derry,Defender,NA
44,Buckley,Jack,17,25yr 2mth,17 Dec 1997,194cm,90kg,Swans Academy,Defender,NA
5,Cadman,Aaron,0,18yr 11mth,3 Mar 2004,195cm,92kg,Greater Western Victoria Rebels,Forward,NA
17,Callaghan,Finn,5,19yr 10mth,26 Apr 2003,189cm,82kg,Sandringham Dragons,Midfield,NA
3,Coniglio,Stephen,177,29yr 2mth,15 Dec 1993,182cm,86kg,Swan Districts,Midfield,Forward
13,Cumming,Isaac,55,24yr 6mth,11 Aug 1998,185cm,84kg,Broken Hill,Defender,NA
16,Daniels,Brent,62,23yr 11mth,9 Mar 1999,171cm,76kg,Bendigo Pioneers,Forward,NA
1,Davis,Phil,192,32yr 5mth,30 Aug 1990,197cm,94kg,North Adelaide,Defender,NA
45,Derksen,Wade,0,21yr 8mth,18 Jun 2001,197cm,90kg,Peel Thunder,Forward,NA
34,Fahey,Josh,0,19yr 3mth,11 Nov 2003,186cm,76kg,GWS Academy,Defender,Midfield
29,Fleeton,Cameron,0,20yr 8mth,17 Jun 2002,191cm,82kg,Geelong Falcons,Defender,NA
30,Flynn,Matthew,24,25yr 5mth,13 Sep 1997,201cm,104kg,Narrandera,Ruck,NA
42,Gillbee,Jason,0,18yr 9mth,15 May 2004,191cm,76kg,Bendigo Pioneers,Defender,Midfield
12,Green,Tom,45,22yr 1mth,23 Jan 2001,191cm,92kg,GWS Giants Academy,Midfield,NA
4,Greene,Toby,191,29yr 5mth,25 Sep 1993,182cm,84kg,Oakleigh Chargers,Forward,NA
35,Gruzewski,Max,0,18yr 7mth,21 Jul 2004,193cm,85kg,Oakleigh Chargers,Defender,NA
43,Hamilton,Cooper,4,19yr 5mth,24 Sep 2003,184cm,83kg,Bendigo Pioneers,Defender,NA
19,Haynes,Nick,183,30yr 9mth,18 May 1992,193cm,90kg,Dandenong Stingrays,Defender,NA
27,Himmelberg,Harrison,127,26yr 9mth,8 May 1996,195cm,95kg,Mangoplah Cookardinia United Eastlakes,Defender,Forward
23,Hogan,Jesse,117,28yr,12 Feb 1995,195cm,102kg,Claremont,Forward,NA
39,Idun,Connor,42,22yr 6mth,29 Jul 2000,191cm,88kg,Geelong Falcons,Defender,NA
2,Jones,Darcy,0,18yr 10mth,3 Apr 2004,175cm,64kg,Swan Districts,Midfield,NA
25,Keeffe,Lachlan,97,32yr 10mth,14 Apr 1990,204cm,104kg,Queensland Under 18s,Defender,NA
22,Kelly,Joshua,176,28yr,12 Feb 1995,184cm,83kg,Sandringham Dragons,Midfield,NA
40,Kennedy,Adam,148,30yr 7mth,12 Jul 1992,184cm,80kg,Western Jets,Defender,NA
38,Lloyd,Daniel,78,31yr,18 Feb 1992,187cm,85kg,Killarney Vale,Forward,NA
41,Madden,Nick,0,18yr 9mth,17 May 2004,204cm,112kg,Greater Western Sydney,Forward,Ruck
31,McMullin,Toby,0,18yr 6mth,6 Aug 2004,183cm,82kg,Sandringham Dragons,Forward,NA
33,O'Halloran,Xavier,33,22yr 7mth,11 Jul 2000,186cm,86kg,Western Jets,Midfield,NA
20,Peatling,James,16,22yr 6mth,21 Aug 2000,182cm,73kg,GWS Giants,Forward,NA
36,Perryman,Harry,86,24yr 2mth,19 Dec 1998,186cm,84kg,Collingullie,Midfield,NA
11,Preuss,Braydon,28,27yr 8mth,16 Jun 1995,206cm,113kg,Surfers Paradise,Ruck,NA
26,Riccardi,Jake,29,23yr 3mth,7 Nov 1999,195cm,93kg,Werribee,Forward,NA
24,Rowston,Harry,0,18yr 6mth,12 Aug 2004,182cm,81kg,Griffith Swans FNC,Midfield,NA
18,Stone,Conor,6,20yr 10mth,22 Apr 2002,188cm,85kg,Oakleigh Chargers,Forward,NA
15,Taylor,Sam,75,23yr 9mth,5 May 1999,196cm,96kg,Swan Districts,Defender,NA
8,Ward,Callan,270,32yr 10mth,10 Apr 1990,187cm,83kg,Western Jets,Midfield,NA
10,Wehr,Jacob,10,24yr 7mth,5 Jul 1998,184cm,70kg,Woodville-west Torrens,Midfield,NA
6,Whitfield,Lachie,185,28yr 7mth,18 Jul 1994,185cm,83kg,Dandenong Stingrays,Midfield,NA
36,Amartey,Joel,13,23yr 5mth,2 Sep 1999,197cm,98kg,Sandringham Dragons,Forward,NA
22,Blakey,Nick,78,23yr,27 Feb 2000,195cm,83kg,Unsw,Defender,NA
16,Campbell,Braeden,25,21yr,4 Feb 2002,181cm,75kg,Sydney Academy,Defender,NA
4,Clarke,Ryan,81,25yr 8mth,17 Jun 1997,186cm,85kg,Eastern Ranges,Forward,NA
7,Cunningham,Harry,161,29yr 2mth,6 Dec 1993,181cm,78kg,Turvey Park,Defender,NA
28,Edwards,Will,0,19yr 9mth,8 May 2003,197cm,100kg,Sydney,Defender,NA
13,Florent,Oliver,118,24yr 7mth,22 Jul 1998,184cm,82kg,Sandringham Dragons,Defender,NA
42,Fox,Robbie,67,29yr 10mth,16 Apr 1993,185cm,85kg,Coburg,Defender,NA
10,Francis,Aaron,54,25yr 6mth,10 Aug 1997,193cm,92kg,West Adelaide,Defender,Forward
23,Franklin,Lance,341,36yr,30 Jan 1987,199cm,107kg,Perth,Forward,NA
17,Gould,Will,0,22yr 1mth,14 Jan 2001,191cm,100kg,Glenelg,Defender,NA
21,Gulden,Errol,43,20yr 7mth,18 Jul 2002,176cm,76kg,Sydney Academy,Midfield,Forward
45,Hall-Kahan,Hugo,0,19yr 5mth,22 Sep 2003,188cm,80kg,Sandringham Dragons,Forward,NA
9,Hayward,Will,114,24yr 4mth,26 Oct 1998,186cm,84kg,North Adelaide,Forward,NA
5,Heeney,Isaac,154,26yr 9mth,5 May 1996,185cm,83kg,Cardiff,Forward,NA
31,Hickey,Tom,139,31yr 11mth,6 Mar 1991,202cm,96kg,Morningside,Ruck,NA
18,Konstanty,Jacob,0,18yr 3mth,9 Nov 2004,177cm,73kg,Gippsland Power,Forward,NA
19,Ladhams,Peter,43,25yr 1mth,14 Jan 1998,202cm,101kg,Norwood,Ruck,NA
44,Lloyd,Jake,200,29yr 5mth,20 Sep 1993,180cm,79kg,North Ballarat Rebels,Defender,NA
32,Magor,Jaiden,0,19yr,16 Feb 2004,185cm,79kg,South Adelaide,Midfield,Forward
46,McAndrew,Lachlan,0,22yr 9mth,26 May 2000,209cm,91kg,Sydney,Forward,Ruck
39,McCartin,Patrick,59,26yr 10mth,19 Apr 1996,195cm,97kg,Geelong Falcons,Defender,NA
30,McCartin,Tom,95,23yr 1mth,30 Dec 1999,193cm,95kg,Geelong Falcons,Defender,NA
6,McDonald,Logan,24,20yr 10mth,4 Apr 2002,196cm,86kg,Perth Fc,Forward,NA
27,McInerney,Justin,53,22yr 6mth,18 Aug 2000,188cm,82kg,Northern Knights,Midfield,NA
2,McLean,Hayden,31,24yr 1mth,20 Jan 1999,197cm,97kg,Sandringham,Forward,NA
43,Melican,Lewis,52,26yr 3mth,4 Nov 1996,194cm,100kg,Geelong Falcons,Defender,NA
14,Mills,Callum,135,25yr 10mth,2 Apr 1997,187cm,86kg,North Shore,Midfield,NA
35,Mitchell,Caleb,0,18yr 6mth,10 Aug 2004,187cm,80kg,Murray Bushrangers,Defender,Midfield
40,Owen,Cameron,0,18yr 9mth,28 May 2004,203cm,94kg,Tasmania Devils,Ruck,NA
11,Papley,Tom,141,26yr 7mth,13 Jul 1996,177cm,79kg,Gippsland Power,Forward,NA
26,Parker,Luke,260,30yr 4mth,25 Oct 1992,183cm,87kg,Dandenong Stingrays,Midfield,NA
24,Rampe,Dane,215,32yr 8mth,2 Jun 1990,188cm,87kg,Williamstown,Defender,NA
41,Rankin,Lachlan,0,20yr,5 Feb 2003,182cm,68kg,Oakleigh Chargers,Defender,NA
20,Reid,Sam,181,31yr 2mth,27 Dec 1991,196cm,98kg,Murray Bushrangers,Forward,NA
34,Roberts,Matthew,1,19yr 6mth,31 Jul 2003,183cm,81kg,South Adelaide,Midfield,NA
8,Rowbottom,James,69,22yr 5mth,19 Sep 2000,186cm,82kg,Oakleigh Chargers,Midfield,NA
33,Sheather,Marc,0,20yr 8mth,11 Jun 2002,185cm,84kg,Pennant Hills,Defender,Forward
29,Sheldrick,Angus,2,19yr 3mth,7 Nov 2003,179cm,86kg,Claremont,Midfield,Forward
3,Stephens,Dylan,30,22yr 1mth,8 Jan 2001,184cm,76kg,Norwood,Midfield,NA
25,Vickery,Cooper,0,18yr 2mth,16 Dec 2004,181cm,72kg,Gippsland Power,Defender,NA
1,Warner,Chad,39,21yr 9mth,19 May 2001,181cm,83kg,East Fremantle,Midfield,NA
37,Warner,Corey,0,19yr 4mth,7 Oct 2003,182cm,72kg,East Fremantle,Midfield,Forward
15,Wicks,Sam,39,23yr 5mth,14 Sep 1999,180cm,80kg,Swans Academy,Forward,NA
24,Adams,Marcus,73,29yr 7mth,30 Jun 1993,192cm,98kg,West Perth,Defender,NA
4,Ah Chee,Callum,105,25yr 4mth,9 Oct 1997,183cm,79kg,South Fremantle,Midfield,NA
31,Andrews,Harris,160,26yr 2mth,11 Dec 1996,202cm,98kg,Aspley,Defender,NA
43,Answerth,Noah,51,23yr 6mth,6 Aug 1999,183cm,80kg,Oakleigh Chargers,Defender,NA
8,Ashcroft,Will,0,18yr 9mth,6 May 2004,182cm,78kg,Sandringham Dragons,Midfield,NA
33,Bailey,Zac,94,23yr 5mth,23 Sep 1999,182cm,86kg,Norwood,Midfield,Forward
7,Berry,Jarrod,108,25yr,5 Feb 1998,192cm,88kg,North Ballarat Rebels,Midfield,NA
34,Brain,Shadeau,0,,,186cm,80kg,Noosa,Forward,NA
23,Cameron,Charlie,176,28yr 7mth,5 Jul 1994,180cm,75kg,Swan Districts,Forward,NA
12,Cockatoo,Nakia,49,26yr 4mth,23 Oct 1996,185cm,92kg,Nt Thunder,Forward,NA
13,Coleman,Blake,0,20yr 6mth,6 Aug 2002,182cm,80kg,Brisbane Academy,Forward,NA
18,Coleman,Keidean,41,22yr 10mth,31 Mar 2000,182cm,78kg,Brisbane,Defender,NA
3,Daniher,Joe,151,28yr 11mth,4 Mar 1994,201cm,96kg,Calder Cannons,Forward,NA
5,Dunkley,Josh,116,26yr 1mth,9 Jan 1997,191cm,91kg,Gippsland Power,Midfield,Forward
28,Fletcher,Jaspa,0,19yr,24 Feb 2004,183cm,76kg,Brisbane Lions,Midfield,NA
32,Fort,Darcy,26,29yr 6mth,6 Aug 1993,204cm,99kg,Central District,Forward,Ruck
21,Fullarton,Tom,19,24yr,23 Feb 1999,200cm,92kg,Brisbane Bullets,Forward,NA
27,Gardiner,Darcy,154,27yr 5mth,22 Sep 1995,192cm,91kg,Geelong Falcons,Defender,NA
19,Gunston,Jack,225,31yr 4mth,16 Oct 1991,193cm,86kg,Sandringham,Forward,NA
30,Hipwood,Eric,127,25yr 5mth,13 Sep 1997,203cm,91kg,Aspley,Forward,NA
41,Joyce,Darragh,13,25yr 10mth,23 Apr 1997,194cm,96kg,Kilkenny,Defender,NA
45,Lane,Kalin,0,21yr 2mth,5 Dec 2001,205cm,99kg,Claremont,Ruck,NA
35,Lester,Ryan,161,30yr 6mth,26 Aug 1992,192cm,85kg,Oakleigh Chargers,Defender,NA
1,Lohmann,Kai,2,19yr 9mth,6 May 2003,185cm,77kg,GWV Rebels,Forward,NA
17,Lyons,Jarryd,181,30yr 7mth,22 Jul 1992,184cm,84kg,Sandringham Dragons,Midfield,NA
14,Madden,James,11,23yr 3mth,15 Nov 1999,188cm,88kg,Dublin,Defender,NA
36,Mathieson,Rhys,72,26yr 1mth,10 Jan 1997,186cm,87kg,Geelong Falcons,Midfield,Forward
11,McCarthy,Lincoln,119,29yr 4mth,22 Oct 1993,178cm,81kg,Glenelg,Forward,NA
6,McCluggage,Hugh,130,24yr 11mth,3 Mar 1998,185cm,87kg,North Ballarat Rebels,Midfield,NA
50,McDowell-White,Daryl,0,,,183cm,79kg,Red City Roar,Midfield,Forward
46,McInerney,Oscar,101,28yr 7mth,10 Jul 1994,204cm,108kg,Casey Scorpions,Ruck,NA
26,McKenna,Conor,79,26yr 11mth,28 Mar 1996,184cm,88kg,"Eglish, Tyrone",Defender,NA
39,Michael,Carter,1,20yr 9mth,22 May 2002,188cm,78kg,Maroochydore,Defender,NA
9,Neale,Lachie,220,29yr 9mth,24 May 1993,178cm,85kg,Glenelg,Midfield,NA
40,Payne,Jack,27,23yr 4mth,15 Oct 1999,197cm,101kg,Lions Academy,Defender,NA
20,Prior,Jaxon,30,21yr 8mth,4 Jun 2001,189cm,84kg,West Perth,Midfield,NA
16,Rayner,Cameron,87,23yr 4mth,21 Oct 1999,186cm,89kg,Western Jets,Forward,NA
10,Rich,Daniel,268,32yr 8mth,7 Jun 1990,183cm,95kg,Subiaco Football Club,Defender,NA
2,Robertson,Deven,25,21yr 7mth,30 Jun 2001,185cm,83kg,Perth,Midfield,NA
22,Sharp,Harry,7,20yr 2mth,17 Dec 2002,182cm,72kg,Gwv Rebels,Midfield,NA
25,Smith,Henry,0,20yr 5mth,24 Sep 2002,206cm,100kg,Woodville-west Torrens,Forward,Ruck
37,Starcevich,Brandon,71,23yr 7mth,24 Jul 1999,187cm,92kg,East Perth,Defender,NA
29,Tunstill,James,3,19yr 7mth,18 Jul 2003,187cm,76kg,East Perth,Midfield,NA
44,Wilmot,Darcy,3,19yr 2mth,21 Dec 2003,183cm,75kg,Northern Knights,Defender,NA
15,Zorko,Dayne,230,34yr,9 Feb 1989,175cm,78kg,Broadbeach,Forward,NA
21,Aliir,Aliir,107,28yr 5mth,5 Sep 1994,194cm,96kg,East Fremantle,Defender,NA
45,Barkla,Nathan,0,18yr 10mth,30 Mar 2004,190cm,79kg,Woodville-West Torrens,Midfield,NA
14,Bergman,Miles,33,21yr 4mth,18 Oct 2001,189cm,83kg,Sandringham Dragons,Midfield,NA
10,Boak,Travis,327,34yr 6mth,1 Aug 1988,183cm,85kg,Geelong Falcons,Midfield,NA
26,Bonner,Riley,82,25yr 11mth,7 Mar 1997,190cm,85kg,West Adelaide,Defender,NA
36,Burgoyne,Jase,8,19yr 7mth,15 Jul 2003,186cm,65kg,Eagles,Defender,NA
3,Burton,Ryan,117,26yr,31 Jan 1997,191cm,90kg,North Adelaide,Defender,NA
9,Butters,Zak,68,22yr 5mth,8 Sep 2000,181cm,75kg,Western Jets,Midfield,Forward
33,Byrne-Jones,Darcy,150,27yr 5mth,20 Sep 1995,181cm,76kg,Oakleigh Chargers,Defender,NA
17,Clurey,Tom,123,28yr 11mth,23 Mar 1994,193cm,95kg,Murray Bushrangers,Defender,NA
22,Dixon,Charlie,189,32yr 5mth,23 Sep 1990,200cm,107kg,Redland,Forward,NA
28,Drew,Willem,56,24yr 4mth,1 Oct 1998,188cm,87kg,North Ballarat Rebels,Midfield,NA
43,Dumont,Trent,121,27yr 7mth,30 Jun 1995,186cm,87kg,Norwood,Midfield,NA
7,Duursma,Xavier,57,22yr 7mth,7 Jul 2000,186cm,79kg,Gippsland Power,Midfield,NA
31,Evans,Francis,7,21yr 6mth,23 Aug 2001,182cm,80kg,Calder Cannons,Forward,NA
13,Fantasia,Orazio,96,27yr 5mth,14 Sep 1995,180cm,74kg,Norwood,Forward,NA
6,Farrell,Kane,49,23yr 11mth,17 Mar 1999,182cm,77kg,Bendigo Pioneers,Midfield,NA
11,Finlayson,Jeremy,86,27yr,9 Feb 1996,197cm,94kg,Hills Eagles,Forward,Ruck
19,Georgiades,Mitch,47,21yr 5mth,28 Sep 2001,192cm,87kg,Subiaco,Forward,NA
25,Hayes,Sam,7,23yr 8mth,9 Jun 1999,205cm,102kg,Eastern Ranges,Ruck,NA
18,Horne-Francis,Jason,17,19yr 8mth,21 Jun 2003,185cm,81kg,South Adelaide,Midfield,Forward
5,Houston,Dan,121,25yr 9mth,12 May 1997,186cm,88kg,Oakleigh Chargers,Defender,NA
39,Jackson,Hugh,0,19yr 9mth,3 May 2003,182cm,72kg,North Adelaide,Midfield,Forward
1,Jonas,Thomas,203,32yr 1mth,9 Jan 1991,188cm,90kg,Norwood,Defender,NA
34,Jones,Lachlan,20,20yr 10mth,9 Apr 2002,186cm,90kg,-,Defender,Forward
30,Lord,Ollie,0,21yr 1mth,2 Jan 2002,197cm,85kg,Sandringham Dragons,Defender,Forward
29,Lycett,Scott,132,30yr 5mth,26 Sep 1992,203cm,102kg,Port Magpies,Ruck,NA
40,Marshall,Kyle,0,18yr 10mth,10 Apr 2004,201cm,84kg,South Adelaide,Defender,NA
4,Marshall,Todd,76,24yr 4mth,8 Oct 1998,198cm,90kg,Murray Bushrangers,Forward,NA
37,McCallum,Tom,0,18yr 5mth,15 Sep 2004,193cm,82kg,Tasmania Devils,Defender,NA
41,McEntee,Jed,10,22yr,15 Feb 2001,176cm,76kg,Sturt,Forward,NA
12,McKenzie,Trent,146,30yr 10mth,3 Apr 1992,191cm,90kg,Western Jets,Defender,NA
44,Mead,Jackson,11,21yr 4mth,30 Sep 2001,184cm,84kg,Woodville West Torrens,Midfield,Forward
24,Pasini,Jake,0,22yr,6 Feb 2001,192cm,83kg,Swan Districts,Defender,NA
2,Powell-Pepper,Sam,114,25yr 1mth,8 Jan 1998,187cm,96kg,East Perth,Forward,NA
15,Rioli,Willie,51,27yr 8mth,4 Jun 1995,175cm,77kg,Glenelg,Midfield,Forward
